model,KL,JSD
BPR,6.716408041800496,0.17050091742878362
BPR,5.164341339398147,0.1298778664648484
BPR,5.969660616322644,0.17123971292460022
BPR,0.9220724394163835,0.049769522776656
BPR,1.684936172896727,0.06090305198999508
BPR,1.4461525077744755,0.1141059281336976
BPR,5.374507336133756,0.15427993922932706
BPR,5.2324969889884745,0.16592606633504342
BPR,3.5939440103095386,0.09589685381885947
BPR,4.901360550919183,0.13340486058100784
BPR,1.4914102934960467,0.061708052594936946
BPR,0.6810604676410885,0.058567998688767636
BPR,6.489861252645984,0.18126788694051094
BPR,7.244503188520375,0.21215676940844114
BPR,0.8585743798213962,0.03553387908515627
BPR,4.710879860101423,0.1431696070059601
BPR,2.8281913929296687,0.13268054344083838
BPR,6.80391453941826,0.15877382050790645
BPR,0.2788481736381023,0.017231980069558315
BPR,5.851968333996325,0.135355595903186
BPR,5.35803921111394,0.13748439374426766
BPR,7.022095764686999,0.2835673972394757
BPR,3.4100393381701752,0.11616246870295112
BPR,6.6311101644288,0.3089326671679615
BPR,4.273877972179348,0.10105564922117176
BPR,6.334180345496214,0.15376381881488127
BPR,6.699433353977137,0.2259002696472293
BPR,4.1546089771485635,0.08880563946027295
BPR,1.5739725364314334,0.06444751129401255
BPR,6.720528204984112,0.16955806838316967
BPR,4.119357242424194,0.11084337872287622
BPR,7.982376355156629,0.19846465322992723
BPR,6.3175523462099665,0.162706963007363
BPR,5.305638906518723,0.15740352133068
BPR,8.57824583329816,0.20658282731095004
BPR,8.636853501439026,0.24939022173616832
BPR,9.85993090790207,0.23728279311451447
BPR,7.583643336649563,0.18675778832541076
BPR,3.503670510720909,0.11690568007242794
BPR,9.860771279826158,0.2724320187221783
BPR,3.013178705038507,0.07409032192057055
BPR,7.16291873764451,0.1822073478252958
BPR,6.28065867753916,0.1508149803254384
BPR,4.116561512302818,0.10927930115916243
BPR,1.6933443845198197,0.09096075607913288
BPR,1.2034683100778063,0.04771657669274903
BPR,5.675810781072392,0.19145117023744793
BPR,5.576083083657247,0.13206479756478082
BPR,2.893422181738172,0.09351704593389137
BPR,8.181870510043225,0.22378926383134537
BPR,4.482850080048536,0.12129084507887594
BPR,11.58864172284322,0.2841768726145101
BPR,3.0532213329889566,0.08860743178521026
BPR,0.9177399043559246,0.0616959684149715
BPR,6.892762084473107,0.1576515845858048
BPR,3.3509599116264854,0.13444312302500402
BPR,1.8358129515729045,0.09679996568765793
BPR,7.532449222822722,0.1737171979165048
BPR,3.5723685189079175,0.0965041073221514
BPR,2.085447281039294,0.05353015006577534
BPR,1.2762720034144661,0.03692354306465312
BPR,6.127626929363731,0.14674450476050377
BPR,2.836840595957758,0.06627875898705786
BPR,0.7042001804825134,0.030987707586553417
BPR,0.5403022124796523,0.04033965912932042
BPR,3.282304910485508,0.09057979786676924
BPR,4.284370520784721,0.1182623345974121
BPR,6.100807491649637,0.19830118816234588
BPR,3.5200366648010184,0.13596752456210534
BPR,9.137824295308544,0.2929057527530615
BPR,5.65131639218819,0.19230539814171804
BPR,3.966615540463707,0.12316818292135905
BPR,6.3533405293146386,0.15309750372480393
BPR,11.223069412506101,0.2827714096774894
BPR,0.41673292321271976,0.016178314743967526
BPR,4.915578219342359,0.12808442209691873
BPR,0.6009709366551802,0.026862457416114732
BPR,5.16289833361867,0.1277007657364331
BPR,0.8387256263515092,0.06803887571732883
BPR,4.247727504610765,0.11863445504486357
BPR,5.797066305220292,0.13527798965377646
BPR,0.6953278138614272,0.033293322268099085
BPR,7.2744614773825225,0.19683371129167096
BPR,7.596347996156455,0.23685848083593
BPR,1.453319141415994,0.0528624163861236
BPR,4.175659633048492,0.12643632808755165
BPR,3.7712023072286596,0.12387370171781925
BPR,0.5164214852061675,0.10148345725143185
BPR,8.42901534578491,0.219660344071453
BPR,6.272728464070031,0.1825705468768987
BPR,4.090881578418935,0.11533387635763706
BPR,4.274534446197161,0.10386750675881641
BPR,6.096261792896315,0.19626342619782217
BPR,3.555662776897052,0.11839763806752016
BPR,3.3110839629738384,0.10886426026511146
BPR,1.5721974571285013,0.1128410996676025
BPR,5.959261660044592,0.14816505498945615
BPR,9.548771457652371,0.25184686128320305
BPR,6.161257303292005,0.1630084989206825
BPR,1.14954411011134,0.05119751468334511
BPR,0.09069146396962488,0.03424356651647074
BPR,3.4265755621802985,0.08236143155928675
BPR,7.526303779744417,0.19432233401622975
BPR,11.386653582512166,0.2769052567150683
BPR,4.1889563420515605,0.1495140737911614
BPR,5.191683263460578,0.11734412098853614
BPR,2.269845624673053,0.08452662989666027
BPR,7.316098431679478,0.17278318349696503
BPR,5.181268628302804,0.2650451898544846
BPR,4.245315854736437,0.12340382027206308
BPR,0.7733268228169558,0.03652625320042808
BPR,0.03863145890071031,0.012745525380473402
BPR,3.850261368916268,0.10460249284264571
BPR,3.8373284155202616,0.10705286052553718
BPR,0.14891038776440943,0.049038131679052875
BPR,3.3350299527141565,0.08709016847316539
BPR,6.779812427683562,0.1619929571690034
BPR,6.677616999783395,0.16844337110968385
BPR,4.21151863400371,0.10458297760988179
BPR,8.275168952982256,0.2506271923845996
BPR,5.917715345606594,0.13475021780372873
BPR,0.231883015246795,0.08629484548622982
BPR,9.68909877058363,0.2335512151176247
BPR,5.567988110192423,0.13743456721025346
BPR,0.1003533871700133,0.03743962863978463
BPR,6.079251794995702,0.16023159977226162
BPR,1.6333793033261648,0.04708580071535201
BPR,4.732011649426378,0.16025715667409818
BPR,9.879108308141786,0.2357565116718212
BPR,9.578671158209435,0.25037334802594846
BPR,2.9928599022980062,0.09000286940683379
BPR,1.9057805495249445,0.0897135473621461
BPR,1.6152463481090866,0.056762390310738056
BPR,5.0591203931336,0.20288971025473487
