user	KL	JSD
user_1DaXuorq	0.04274288823824081	0.01836926662987097
user_1E6dhr3r	0.07589056380123016	0.0282923264719703
user_1EKIKpZ4	0.10249097408448893	0.040662278752337855
user_1ESJR20U	0.05858440223463154	0.020387638540608
user_1EVTrROr	0.14422969712157419	0.04946165039984483
user_1EgpIe27	0.10435798707153088	0.04236602084694937
user_1Eofe6zD	1.0244245581015585	0.040664144105037305
user_1FKqOWww	0.05009175830642397	0.020236407731643334
user_1FdkK6Ow	0.010153862215985073	0.003583506915475185
user_1G5dZZAD	0.009345375730321265	0.003287539874992525
user_1G7f2oYI	0.03742966432058487	0.015531731792634913
user_1G7s86rP	0.13027170397931864	0.05014243722249168
user_1GGV4SsU	0.19851194206819797	0.09152620636704456
user_1H2r11pY	0.06257441783421017	0.02423615201204224
user_1HF1TQLp	0.7717378210919357	0.03412139635144677
user_1HMiixHe	0.039485550063786456	0.017284420720254847
user_1Ho94hp0	0.07015331166439087	0.02555931329792673
user_1HoUtwIv	0.02884763319755551	0.009123036246885421
user_1IIoC2Wl	0.050995842037661075	0.01941073682746736
user_1IJakr6n	0.015731372644227123	0.0069973707395206775
user_1IOzVHIs	0.01626338753961004	0.006266755114285805
user_1IS9OBoc	0.04712652011217154	0.019760783132600605
user_1JOmwHxn	1.1085195825744654	0.06012560780365202
user_1JRiFoSi	0.0556291737712485	0.02448964998085408
user_1K7zObWC	0.022593020887620132	0.00844621857910478
user_1KPcFOOh	0.3069827726406005	0.016984524960447597
user_1KYzgmW7	0.2165320015442912	0.0051871469487117135
user_1KvF2Zxg	0.06499584838594377	0.025882741563923926
user_1L3lsQqT	0.14590134947897831	0.0498184163579772
user_1LGbhv2r	0.04208735966836221	0.017792642283911527
user_1LjVbeSU	0.04672131500743838	0.019930466763034376
user_1Lu9gXa9	0.12593655679447519	0.05333686622964546
user_1M2JViBK	0.09288795186087509	0.0357162959348906
user_1M38zWO5	0.030191831533704572	0.013738470303719904
user_1NBDMYxP	0.16270732019655051	0.07158624703205314
user_1NWFLNFd	0.0637256890262354	0.025650221139989573
user_1Nya7LPQ	0.36139459372998334	0.015211314885692084
user_1O4pjWch	0.08908522418311282	0.039486526999961906
user_1OPY7f7K	0.035343915582341005	0.012539605905809317
user_1Oo6ZtqB	0.025910974508738485	0.009429179755531647
user_1OuGzdm0	0.006424242683468726	0.00240635039261197
user_1OuXVBus	0.03968008760644684	0.015928121517140677
user_1PJVctAj	0.019343990652328107	0.0068951815286329475
user_1PKHZvEy	0.03254300551041562	0.011556633416733485
user_1Pkp0jhP	0.17829422652256022	0.0614000433673578
user_1PmmKEin	0.07675333466542564	0.026130767409422384
user_1Pv2iFMy	0.051466350356271284	0.019067574194748332
user_1RCmxAqe	0.07936193218001067	0.032297789720897516
user_1RNwrdP0	0.029785096709141076	0.011918760573163644
user_1Rh2bukb	0.03274554585798002	0.013222110702794564
user_1RiLBE87	0.09779916505037349	0.044544409229972874
user_1Rj57dhJ	0.42674203399734634	0.01973645052958762
user_1RkQmbYL	0.10224112906107233	0.04186034893259594
user_1Rq1I1Xi	0.12146234502847397	0.05195354285628842
